,Unnamed: 0,customer,merchant,date,amount
0,0,Brittney Perritt,Abbott,2019-01-01,0.69
1,1,Brittney Perritt,Abernathy,2019-01-01,4.65
3,3,Brittney Perritt,Auer,2019-01-01,7.99
4,4,Brittney Perritt,Aufderhar,2019-01-01,49.07
5,5,Brittney Perritt,Aufderhar,2019-01-02,49.07
6,6,Brittney Perritt,Bailey,2019-01-02,12.37
7,7,Brittney Perritt,Balistreri,2019-01-02,124.0
8,8,Brittney Perritt,Barrows,2019-01-02,24.95
9,9,Brittney Perritt,Bartell,2019-01-02,52.98
10,10,Brittney Perritt,Auer,2019-01-02,7.99
11,11,Brittney Perritt,Bartoletti,2019-01-02,22.42
12,12,Brittney Perritt,Barrows,2019-01-02,24.95
13,13,Brittney Perritt,Abernathy,2019-01-02,4.65
14,14,Brittney Perritt,Beatty,2019-01-02,36.28
15,15,Brittney Perritt,Abbott,2019-01-02,0.69
16,16,Brittney Perritt,Bechtelar,2019-01-03,21.96
17,17,Brittney Perritt,Aufderhar,2019-01-03,40.28
18,18,Brittney Perritt,Becker,2019-01-03,65.74
19,19,Brittney Perritt,Aufderhar,2019-01-03,40.28
20,20,Brittney Perritt,Bednar,2019-01-04,20.85
21,21,Brittney Perritt,Bednar,2019-01-04,20.85
22,22,Brittney Perritt,Auer,2019-01-05,9.99
23,23,Brittney Perritt,Berge,2019-01-05,13.38
24,24,Brittney Perritt,Bins,2019-01-06,27.87
25,25,Brittney Perritt,Aufderhar,2019-01-06,72.63
26,26,Brittney Perritt,Berge,2019-01-07,13.38
27,27,Brittney Perritt,Aufderhar,2019-01-07,72.63
28,28,Brittney Perritt,Bednar,2019-01-07,5.48
29,29,Brittney Perritt,Bins,2019-01-07,27.87
30,30,Brittney Perritt,Bednar,2019-01-07,5.48
31,31,Brittney Perritt,Blanda,2019-01-07,24.0
32,32,Brittney Perritt,Auer,2019-01-07,9.99
33,33,Brittney Perritt,Bednar,2019-01-08,16.74
34,34,Brittney Perritt,Boehm,2019-01-08,0.79
35,35,Brittney Perritt,Bogan,2019-01-08,8.7
36,36,Brittney Perritt,Boehm,2019-01-08,0.79
37,37,Brittney Perritt,Bogisich,2019-01-08,4.45
38,38,Brittney Perritt,Bogisich,2019-01-08,4.45
39,39,Brittney Perritt,Bednar,2019-01-08,16.74
40,40,Brittney Perritt,Bogan,2019-01-08,8.7
41,41,Brittney Perritt,Aufderhar,2019-01-09,1.5
42,42,Brittney Perritt,Aufderhar,2019-01-09,1.5
43,43,Brittney Perritt,Borer,2019-01-10,2.0
44,44,Brittney Perritt,Borer,2019-01-10,2.0
45,45,Brittney Perritt,Aufderhar,2019-01-10,51.93
46,46,Brittney Perritt,Bogan,2019-01-10,18.89
47,47,Brittney Perritt,Aufderhar,2019-01-10,51.93
48,48,Brittney Perritt,Bogan,2019-01-10,18.89
49,49,Brittney Perritt,Boyer,2019-01-11,29.9
50,50,Brittney Perritt,Boyer,2019-01-11,29.9
51,51,Brittney Perritt,Brown,2019-01-12,2.45
52,52,Brittney Perritt,Bins,2019-01-13,45.03
53,53,Brittney Perritt,Bruen,2019-01-14,14.73
54,54,Brittney Perritt,Bins,2019-01-14,45.03
55,55,Brittney Perritt,Bednar,2019-01-14,31.26
56,56,Brittney Perritt,Bednar,2019-01-14,31.26
57,57,Brittney Perritt,Bruen,2019-01-14,14.73
58,58,Brittney Perritt,Brown,2019-01-14,2.45
59,59,Brittney Perritt,Auer,2019-01-15,9.99
60,60,Brittney Perritt,Auer,2019-01-15,9.99
61,61,Brittney Perritt,Cartwright,2019-01-16,8.67
62,62,Brittney Perritt,Bogan,2019-01-16,24.35
63,63,Brittney Perritt,Cartwright,2019-01-16,8.67
64,64,Brittney Perritt,Aufderhar,2019-01-16,50.86
66,66,Brittney Perritt,Aufderhar,2019-01-16,8.8
67,67,Brittney Perritt,Aufderhar,2019-01-16,8.8
68,68,Brittney Perritt,Aufderhar,2019-01-16,50.86
69,69,Brittney Perritt,Bogan,2019-01-16,24.35
70,70,Brittney Perritt,Bogan,2019-01-17,14.5
71,71,Brittney Perritt,Champlin,2019-01-17,23.0
72,72,Brittney Perritt,Bogan,2019-01-17,14.5
73,73,Brittney Perritt,Christiansen,2019-01-17,13.91
74,74,Brittney Perritt,Christiansen,2019-01-17,11.27
75,75,Brittney Perritt,Bednar,2019-01-19,42.85
76,76,Brittney Perritt,Cole,2019-01-21,115.18
77,77,Brittney Perritt,Conn,2019-01-21,6.51
78,78,Brittney Perritt,Aufderhar,2019-01-21,91.26
79,79,Brittney Perritt,Aufderhar,2019-01-21,91.26
80,80,Brittney Perritt,Bednar,2019-01-21,10.75
81,81,Brittney Perritt,Bednar,2019-01-21,42.85
82,82,Brittney Perritt,Bednar,2019-01-21,10.75
83,83,Brittney Perritt,Conn,2019-01-21,2.0
84,84,Brittney Perritt,Conn,2019-01-21,6.51
85,85,Brittney Perritt,Conn,2019-01-21,2.0
86,86,Brittney Perritt,Conn,2019-01-22,2.0
87,87,Brittney Perritt,Conn,2019-01-22,5.95
88,88,Brittney Perritt,Conn,2019-01-22,5.95
89,89,Brittney Perritt,Conroy,2019-01-22,79.0
90,90,Brittney Perritt,Conn,2019-01-22,2.0
91,91,Brittney Perritt,Conn,2019-01-22,5.69
92,92,Brittney Perritt,Conn,2019-01-22,2.0
93,93,Brittney Perritt,Conn,2019-01-22,2.0
94,94,Brittney Perritt,Conn,2019-01-22,5.69
95,95,Brittney Perritt,Aufderhar,2019-01-23,31.99
96,96,Brittney Perritt,Aufderhar,2019-01-23,31.99
97,97,Brittney Perritt,Auer,2019-01-24,2.83
98,98,Brittney Perritt,Corkery,2019-01-24,14.99
99,99,Brittney Perritt,Auer,2019-01-24,2.83
100,100,Brittney Perritt,Cormier,2019-01-24,4.02
101,101,Brittney Perritt,Corkery,2019-01-24,14.99
102,102,Brittney Perritt,Cormier,2019-01-24,4.02
103,103,Brittney Perritt,Corwin,2019-01-25,24.5
104,104,Brittney Perritt,Corwin,2019-01-25,24.5
105,105,Brittney Perritt,Cremin,2019-01-26,5.0
106,106,Brittney Perritt,Bogan,2019-01-27,47.32
107,107,Brittney Perritt,Conn,2019-01-27,4.0
108,108,Brittney Perritt,Conn,2019-01-27,1.0
109,109,Brittney Perritt,Conn,2019-01-27,3.14
110,110,Brittney Perritt,Crist,2019-01-27,76.55
111,111,Brittney Perritt,Conn,2019-01-27,2.0
112,112,Brittney Perritt,Crona,2019-01-28,6.0
113,113,Brittney Perritt,Conn,2019-01-28,4.0
114,114,Brittney Perritt,Conn,2019-01-28,3.14
115,115,Brittney Perritt,Conn,2019-01-28,1.0
116,116,Brittney Perritt,Cremin,2019-01-28,5.0
117,117,Brittney Perritt,Conn,2019-01-28,2.0
118,118,Brittney Perritt,Bruen,2019-01-28,22.32
119,119,Brittney Perritt,Bogan,2019-01-28,47.32
120,120,Brittney Perritt,Crist,2019-01-28,76.55
121,121,Brittney Perritt,Bruen,2019-01-28,22.32
122,122,Brittney Perritt,Berge,2019-01-29,70.0
123,123,Brittney Perritt,Berge,2019-01-29,70.0
124,124,Brittney Perritt,Auer,2019-01-30,5.99
125,125,Brittney Perritt,Auer,2019-01-30,5.99
126,126,Brittney Perritt,Cruickshank,2019-01-31,0.95
127,127,Brittney Perritt,Aufderhar,2019-01-31,88.63
128,128,Brittney Perritt,Aufderhar,2019-01-31,88.63
129,129,Brittney Perritt,Cruickshank,2019-01-31,0.95
130,130,Brittney Perritt,Aufderhar,2019-02-01,46.75
131,131,Brittney Perritt,Beatty,2019-02-01,40.12
132,132,Brittney Perritt,Bartoletti,2019-02-01,22.42
133,133,Brittney Perritt,Bailey,2019-02-01,12.07
134,134,Brittney Perritt,Barrows,2019-02-01,24.95
135,135,Brittney Perritt,Bechtelar,2019-02-01,21.96
137,137,Brittney Perritt,Aufderhar,2019-02-01,46.75
138,138,Brittney Perritt,Bartell,2019-02-01,52.98
139,139,Brittney Perritt,Barrows,2019-02-01,24.95
140,140,Brittney Perritt,Bogan,2019-02-01,9.0
141,141,Brittney Perritt,Bogan,2019-02-01,9.0
142,142,Brittney Perritt,Balistreri,2019-02-01,124.0
143,143,Brittney Perritt,Daniel,2019-02-03,4.65
144,144,Brittney Perritt,Bednar,2019-02-03,9.01
145,145,Brittney Perritt,Bogan,2019-02-03,58.5
146,146,Brittney Perritt,Dare,2019-02-04,10.0
147,147,Brittney Perritt,Bednar,2019-02-04,9.01
148,148,Brittney Perritt,Daniel,2019-02-04,4.65
149,149,Brittney Perritt,Dare,2019-02-04,10.0
150,150,Brittney Perritt,Deckow,2019-02-04,11.0
151,151,Brittney Perritt,Becker,2019-02-04,57.68
152,152,Brittney Perritt,Deckow,2019-02-04,11.0
153,153,Brittney Perritt,Bogan,2019-02-04,58.5
154,154,Brittney Perritt,Bednar,2019-02-05,23.85
155,155,Brittney Perritt,Bednar,2019-02-05,23.85
156,156,Brittney Perritt,Auer,2019-02-05,15.99
157,157,Brittney Perritt,Auer,2019-02-05,15.99
158,158,Brittney Perritt,Daniel,2019-02-06,2.45
159,159,Brittney Perritt,Auer,2019-02-06,8.99
160,160,Brittney Perritt,Berge,2019-02-06,13.38
161,161,Brittney Perritt,Berge,2019-02-06,13.38
162,162,Brittney Perritt,Daniel,2019-02-06,2.45
163,163,Brittney Perritt,Blanda,2019-02-06,24.0
164,164,Brittney Perritt,Auer,2019-02-06,8.99
165,165,Brittney Perritt,Denesik,2019-02-07,5.25
166,166,Brittney Perritt,Denesik,2019-02-07,5.25
167,167,Brittney Perritt,Boehm,2019-02-08,0.79
168,168,Brittney Perritt,Boehm,2019-02-08,0.79
169,169,Brittney Perritt,Brown,2019-02-09,2.45
170,170,Brittney Perritt,Berge,2019-02-09,6.0
